MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,MnO,Fe2O3,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Mo,Ag,Sn,Ba,W,Hg,Pb,Classification
2.1425,0,0,0.4937,0,0.0335,0,72.3595,0,0,0.0243,0.3915,0.0068,0,0,0,0,0.0044,0,0.0043,0,0.0232,0.0238,0,0,0,0,marble
2.3032,0,0,0.4379,0,0.0273,0,59.3097,0.0939,0,0.0245,0.1078,0.0052,0,0,0,0,0.0116,0,0,0,0,0,0,0,0,0,marble
1.7883,0,0,0.4354,0,0.0457,0,57.98,0.0308,0,0.0187,0.0884,0.004,0,0,0,0,0.0127,0,0,0,0,0,0,0,0,0,marble
3.9579,0,0,0.3967,0,0.0492,0,67.3606,0,0.0163,0.046,0.1747,0.0066,0,0,0,0,0.0076,0,0.0037,0,0,0,0,0,0,0,marble
2.6153,0,0,0.3331,0.0263,0,0,42.7668,0.027,0,0.0264,0.2102,0.0027,0.0021,0,0,0,0.0149,0,0,0,0,0,0,0,0,0,marble
33.8242,0,0,0.1517,0,0.0358,0,44.4426,0.0318,0,0.2624,1.8066,0.0045,0,0.0038,0,0,0.0086,0,0.0014,0,0,0,0,0,0,0,dolomite
32.7771,0,0,0.2204,0,0.028,0,42.7438,0,0,0.2544,2.0183,0.0046,0.0022,0.0042,0,0,0.0094,0,0,0,0,0,0,0,0,0,dolomite
38.9737,0,0,0.2454,0,0,0,45.8251,0,0,0.154,2.075,0.0044,0,0.0138,0,0,0.0062,0,0,0,0,0,0,0,0,0,dolomite
13.7117,0,0,0.1748,0.0628,0,0,26.5168,0.0204,0,0.0627,0.7877,0,0,0.003,0,0,0.0094,0,0,0,0,0,0,0,0,0,dolomite
19.3942,0,0,0.1749,0.032,0,0,37.556,0,0,0.1901,1.0309,0.0033,0.0041,0,0,0,0.011,0,0,0,0,0,0,0,0,0,altered limestone
24.0407,0.553,0,0.2985,0,0.0506,0,43.9301,0,0.0092,0.2337,1.0844,0.0052,0.0059,0,0,0,0.0103,0,0,0,0,0,0,0,0,0,altered limestone
23.3682,1.1655,3.7338,0.2697,0,0.0399,0.0376,45.6751,0.0303,0,0.1182,1.6948,0.0057,0.0019,0.0029,0,0,0.0053,0,0,0,0,0,0,0,0,0,dolomite
25.8723,0.4777,0,0.3146,0,0,0,43.6296,0,0,0.1695,0.9652,0.0062,0.0026,0.0023,0,0,0.0061,0,0,0,0,0,0,0,0,0,dolomite
3.2837,20.7495,53.2702,0,0.0215,0,5.4759,1.7079,0.073,0.0056,0.0162,1.0632,0,0,0,0.0006,0.0332,0.0025,0.001,0.0038,0.0022,0,0,0.0443,0,0,0,intrusive rock
3.399297523,19.71434764,68.10076279,0,0.052146202,0,5.665526101,2.08729909,0.069195742,0.001541714,0.007980636,0.893196417,0,0,0,0,0,0.004171696,0,0.004534452,0,0,0,0,0,0,0,intrusive rock
4.261576341,14.42569083,72.12515903,0.054735339,0.105717921,0,4.231920405,3.49747833,0.185258071,0.00411888,0.031028896,1.020200818,0,0,0,0.001281429,0,0.004301941,0,0.004485003,0.001006837,0,0,0.046039926,0,0,0,intrusive rock
2.916094972,20.67267352,65.02801756,0.160614802,0.061761073,0,5.398061819,3.314030747,0.514255464,0,0.050507233,1.836806718,0,0.000900307,0,0.00252086,0,0.003691259,0,0.01251427,0,0,0,0.0275494,0,0,0,intrusive rock
3.138882404,20.1794067,66.41662127,0.120786104,0.024122636,0,4.392221963,3.678918199,0.149145332,0,0.051530793,1.793461814,0,0,0,0,0,0.004236592,0,0.007262729,0.000951072,0,0,0.042452382,0,0,0,intrusive rock
2.563234205,21.47308357,64.21437895,0.222686704,0.031484813,0,5.562228807,3.884097083,0.458514128,0.004409638,0.042420715,1.475641161,0,0,0,0.002822168,0,0.003439517,0,0.015257346,0,0,0,0.046301196,0,0,0,intrusive rock
2.073644635,15.62170463,72.50709897,0.09063033,0.084069958,0,5.651315395,2.023024477,0.199969871,0.000161985,0.020815009,1.663418877,0,0,0,0,0,0.005993427,0,0.006317396,8.10E-05,0,0,0.051754049,0,0,0,intrusive rock
2.538932633,18.03341249,71.06919968,0.088905553,0.018247719,0,3.938257718,2.934299879,0.188309795,0.000499938,0.019747532,1.101612298,0,0,0,0,0,0.008498938,0,0.013081698,0,0,0,0.046994126,0,0,0,intrusive rock
0,0.1667,0,0.4742,0,0.1174,0,70.9299,0.0233,0,0.043,0.2934,0.0065,0.0025,0,0,0,0.0034,0,0.0027,0,0,0,0,0,0,0,marble
2.4303,1.4169,0,0.4766,0,0.0651,0.2921,67.4688,0.1667,0,0.0322,1.2355,0.0067,0.0041,0,0.0525,0.0083,0.0051,0,0.0036,0,0.0301,0,0,0,0,0,marble
2.2682,0,0,0.467,0,0.0723,0,66.3161,0.0438,0,0.0254,0.2851,0.0062,0.0021,0.0025,0,0,0.0045,0,0.0016,0,0.0257,0,0,0,0,0,marble
1.689,0,0,0.3084,0.0283,0.0496,0,50.5074,0.0356,0,0.0097,0.1392,0.0035,0,0,0,0,0.0073,0,0,0,0,0,0,0,0,0,marble
2.7733,0,0,0.3677,0.0434,0.0412,0,49.8886,0.0215,0,0.1544,0.4955,0.0031,0.0031,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,limestone
0,0,0,0.5268,0,0.0513,0,72.1621,0.0333,0,0.0518,0.3409,0.0061,0.0043,0,0,0,0.004,0.0022,0.0035,0,0,0,0,0,0,0,limestone
2.582,0.351,0.7216,0.3574,0,0.0653,0,57.913,0.0381,0,0.1757,0.5807,0.0056,0,0,0,0,0.0095,0,0,0,0,0,0,0,0,0,marble
2.1551,0.4857,8.5853,0.2015,0.0483,0.0381,0,38.0832,0.0236,0,0.1291,0.5288,0,0.0019,0,0,0,0.0116,0,0,0,0,0,0,0,0,0,marble
0,1.5974,9.0314,0.3268,0.0921,0,0.4016,46.4836,0.2345,0,0.3474,1.5787,0.0038,0.0025,0.1056,0,0.0119,0.0093,0,0.002,0,0,0,0,0,0,0.0121,altered limestone
2.6753,2.2859,15.9716,0.3712,0.0732,0,0.6513,45.4336,0.2239,0,0.4343,2.4893,0,0.0077,0.0764,0,0.0123,0.0057,0,0.0034,0,0.0609,0,0,0,0,0.0381,altered limestone
1.9405,1.5686,1.4687,0.3986,0,0.0455,0.2368,65.7259,0.1853,0,0.039,0.3932,0.0057,0.0025,0,0.0028,0,0.0058,0,0.0029,0,0,0,0,0,0,0,limestone
1.9451,0.1858,0,0.582,0,0.0542,0,71.9544,0.0237,0,0.0581,0.5276,0.005,0,0,0,0,0.0044,0,0.0042,0,0,0,0,0,0,0,limestone
